,Year,Match_Number,Time,Stadium,Team1,Team1_score,Team1_Overs_Played,Team2,Team2_score,Team2_Overs_Played,Win_team
0,2008,Final,20:00,"DY Patil Stadium, Navi Mumbai",Chennai Super Kings,163/5,20/20,Rajasthan Royals,164/7,20/20,Rajasthan Royals
1,2008,2nd Semi-Final,20:00,"Wankhede Stadium, Mumbai",Chennai Super Kings,116/1,14.5/20,Punjab Kings,112/8,20/20,Chennai Super Kings
2,2008,1st Semi-Final,20:00,"Wankhede Stadium, Mumbai",Delhi Capitals,87,16.1/20,Rajasthan Royals,192/9,20/20,Rajasthan Royals
3,2008,Match 56,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,221/3,20/20,Rajasthan Royals,180/7,20/20,Punjab Kings
4,2008,Match 55,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,122/9,18/20,Mumbai Indians,126/1,16/20,Mumbai Indians
5,2008,Match 54,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Deccan Chargers,147/8,20/20,Chennai Super Kings,148/3,19.2/20,Chennai Super Kings
6,2008,Match 53,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,146/5,20/20,Mumbai Indians,145/7,20/20,Rajasthan Royals
7,2008,Match 52,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,175/7,19.4/20,Punjab Kings,174/6,20/20,Kolkata Knight Riders
8,2008,Match 51,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Deccan Chargers,165,20/20,Royal Challengers Bangalore,171/5,19/20,Royal Challengers Bangalore
9,2008,Match 50,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,179/5,19.5/20,Mumbai Indians,176/8,20/20,Delhi Capitals
10,2008,Match 49,16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,201/7,20/20,Rajasthan Royals,211/5,20/20,Rajasthan Royals
11,2008,Match 48,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,178/4,19.3/20,Deccan Chargers,175/4,20/20,Punjab Kings
12,2008,Match 46,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,112/8,20/20,Royal Challengers Bangalore,126/8,20/20,Royal Challengers Bangalore
13,2008,Match 45,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,188,20/20,Punjab Kings,189/4,20/20,Punjab Kings
14,2008,Match 44,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,147/8,20/20,Rajasthan Royals,150/4,16.3/20,Rajasthan Royals
15,2008,Match 43,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,154/7,20/20,Delhi Capitals,158/5,18.2/20,Delhi Capitals
16,2008,Match 42,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Deccan Chargers,153/7,20/20,Mumbai Indians,178/7,20/20,Mumbai Indians
17,2008,Match 41,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,52/5,8/20,Chennai Super Kings,55/0,8/8,Chennai Super Kings
